Writer,Style,Type,yearPeak,X1A,X1B,X1AX1B
Eliot,1,1,23,1,1,1
Cummings,1,1,26,1,1,1
Plath,1,1,30,1,1,1
Pound,1,1,30,1,1,1
Wilbur,1,1,34,1,1,1
Fitzgerald,1,2,29,1,-1,-1
Hemingway,1,2,30,1,-1,-1
Melville,1,2,32,1,-1,-1
Lawrence,1,2,35,1,-1,-1
Joyce,1,2,40,1,-1,-1
Bishop,2,1,29,-1,1,-1
Moore,2,1,32,-1,1,-1
Williams,2,1,40,-1,1,-1
Lowell,2,1,41,-1,1,-1
Stevens,2,1,42,-1,1,-1
Frost,2,1,48,-1,1,-1
James,2,2,38,-1,-1,1
Faulkner,2,2,39,-1,-1,1
Dickens,2,2,41,-1,-1,1
Woolf,2,2,45,-1,-1,1
Conrad,2,2,47,-1,-1,1
Twain,2,2,50,-1,-1,1
Hardy,2,2,51,-1,-1,1
