observer,skull,time,chord
1,1,1,100.9
1,1,2,100.8
1,2,1,91.1
1,2,2,91.2
1,3,1,102.5
1,3,2,102.7
1,4,1,96.9
1,4,2,96.9
1,5,1,95.7
1,5,2,95.7
1,6,1,95.1
1,6,2,94.9
1,7,1,95.9
1,7,2,95.5
1,8,1,98.7
1,8,2,99
1,9,1,91.7
1,9,2,90.7
1,10,1,93.7
1,10,2,93.4
2,1,1,101.6
2,1,2,101.3
2,2,1,91.5
2,2,2,92
2,3,1,103.6
2,3,2,103.3
2,4,1,97.4
2,4,2,97.5
2,5,1,96.4
2,5,2,96.2
2,6,1,95.7
2,6,2,95.2
2,7,1,96.2
2,7,2,96.3
2,8,1,99.3
2,8,2,99.5
2,9,1,91.9
2,9,2,91.8
2,10,1,94
2,10,2,94.4
3,1,1,101.3
3,1,2,100.8
3,2,1,90.4
3,2,2,90.9
3,3,1,102.4
3,3,2,102.8
3,4,1,96.8
3,4,2,96.7
3,5,1,95.7
3,5,2,95.8
3,6,1,95.1
3,6,2,95.3
3,7,1,95.8
3,7,2,95.9
3,8,1,98.8
3,8,2,98.9
3,9,1,91.7
3,9,2,91.4
3,10,1,93.9
3,10,2,93.4
4,1,1,102.1
4,1,2,102
4,2,1,91
4,2,2,91.2
4,3,1,103.3
4,3,2,103.1
4,4,1,97.4
4,4,2,97.5
4,5,1,96
4,5,2,96.6
4,6,1,95.4
4,6,2,96.1
4,7,1,96
4,7,2,96.5
4,8,1,99
4,8,2,99.5
4,9,1,92.8
4,9,2,92.1
4,10,1,94
4,10,2,94.2
5,1,1,101.7
5,1,2,101.6
5,2,1,90.6
5,2,2,90.7
5,3,1,102.7
5,3,2,102.9
5,4,1,97.2
5,4,2,97.1
5,5,1,96.3
5,5,2,96.4
5,6,1,95.8
5,6,2,96.2
5,7,1,96
5,7,2,96.2
5,8,1,98.6
5,8,2,98.8
5,9,1,92
5,9,2,91.7
5,10,1,93.5
5,10,2,93.4
6,1,1,101.6
6,1,2,101.6
6,2,1,90.7
6,2,2,89.9
6,3,1,102.7
6,3,2,102.9
6,4,1,97.7
6,4,2,97.1
6,5,1,96.1
6,5,2,96
6,6,1,95.6
6,6,2,95.5
6,7,1,96.2
6,7,2,96
6,8,1,99
6,8,2,99
6,9,1,91.7
6,9,2,91.8
6,10,1,93.7
6,10,2,93.8
